Name,Close
GOOGL,233.93
GOOGL,233.38
GOOGL,237.37
GOOGL,236.64
GOOGL,238.24
GOOGL,236.06
GOOGL,241.48
GOOGL,239.78
GOOGL,239.0
GOOGL,239.23
GOOGL,240.83
GOOGL,239.74
GOOGL,235.93
GOOGL,234.73
GOOGL,233.12
GOOGL,236.85
GOOGL,235.8
GOOGL,233.87
GOOGL,233.64
GOOGL,234.86
GOOGL,230.97
GOOGL,233.6
GOOGL,231.12
GOOGL,229.23
GOOGL,236.54
GOOGL,235.72
GOOGL,235.4
GOOGL,235.54
GOOGL,238.17
GOOGL,237.22
GOOGL,237.4
GOOGL,242.0
GOOGL,243.8
GOOGL,249.55
GOOGL,249.2
GOOGL,250.45
GOOGL,253.79
GOOGL,259.68
GOOGL,259.38
GOOGL,257.79
GOOGL,258.0
GOOGL,255.93
GOOGL,252.64
GOOGL,252.87
GOOGL,251.67
GOOGL,253.2
GOOGL,257.86
GOOGL,257.41
GOOGL,255.24
GOOGL,257.31
GOOGL,262.75
GOOGL,263.97
GOOGL,265.4
GOOGL,263.41
GOOGL,262.77
GOOGL,261.61
GOOGL,265.46
GOOGL,267.44
GOOGL,271.09
GOOGL,269.97
GOOGL,271.55
GOOGL,271.94
GOOGL,272.51
GOOGL,272.94
GOOGL,276.36
GOOGL,276.77
GOOGL,277.78
GOOGL,275.02
GOOGL,274.57
GOOGL,260.32
GOOGL,256.51
GOOGL,257.26
GOOGL,255.13
GOOGL,254.25
GOOGL,256.2
GOOGL,258.31
GOOGL,255.25
GOOGL,256.73
GOOGL,255.76
GOOGL,251.75
GOOGL,255.25
GOOGL,258.27
GOOGL,263.15
GOOGL,257.62
GOOGL,258.13
GOOGL,258.01
GOOGL,254.55
GOOGL,249.02
GOOGL,246.01
GOOGL,250.27
GOOGL,249.21
GOOGL,253.56
GOOGL,256.63
GOOGL,256.35
GOOGL,257.76
GOOGL,256.89
GOOGL,253.45
GOOGL,256.7
GOOGL,255.96
GOOGL,257.88
GOOGL,262.84
GOOGL,264.16
GOOGL,262.02
GOOGL,259.93
GOOGL,257.5
GOOGL,260.93
GOOGL,261.59
GOOGL,262.65
GOOGL,264.64
GOOGL,262.91
GOOGL,267.9
GOOGL,273.7
GOOGL,276.69
GOOGL,280.33
GOOGL,284.29
GOOGL,284.78
GOOGL,284.36
GOOGL,284.03
GOOGL,283.92
GOOGL,291.57
GOOGL,292.49
GOOGL,292.3
GOOGL,289.8
GOOGL,297.32
GOOGL,305.11
GOOGL,307.9
GOOGL,313.01
GOOGL,311.31
GOOGL,319.01
GOOGL,310.37
GOOGL,308.31
GOOGL,317.06
GOOGL,320.13
GOOGL,322.68
GOOGL,325.7
GOOGL,338.22
GOOGL,338.25
GOOGL,334.59
GOOGL,337.64
GOOGL,339.95
GOOGL,347.73
GOOGL,353.85
GOOGL,351.96
GOOGL,355.98
GOOGL,363.19
GOOGL,371.27
GOOGL,366.84
GOOGL,347.27
GOOGL,332.32
GOOGL,316.35
GOOGL,330.61
GOOGL,321.16
GOOGL,315.14
GOOGL,317.13
GOOGL,313.24
GOOGL,324.59
GOOGL,330.59
GOOGL,338.69
GOOGL,333.3
GOOGL,337.12
GOOGL,346.48
GOOGL,348.85
GOOGL,346.85
GOOGL,341.11
GOOGL,342.42
GOOGL,349.6
GOOGL,357.99
GOOGL,357.79
GOOGL,359.57
GOOGL,349.95
GOOGL,350.02
GOOGL,347.37
GOOGL,345.32
GOOGL,334.95
GOOGL,337.01
GOOGL,339.02
GOOGL,345.19
GOOGL,348.69
GOOGL,350.72
GOOGL,355.78
GOOGL,350.72
GOOGL,351.62
GOOGL,346.09
GOOGL,342.94
GOOGL,343.01
GOOGL,328.83
GOOGL,324.95
GOOGL,316.16
GOOGL,326.93
GOOGL,323.69
GOOGL,319.44
GOOGL,327.24
GOOGL,319.14
GOOGL,308.28
GOOGL,300.7
GOOGL,300.43
GOOGL,292.47
GOOGL,274.58
GOOGL,287.53
GOOGL,283.48
GOOGL,278.27
GOOGL,275.54
GOOGL,274.41
GOOGL,282.43
GOOGL,258.21
GOOGL,247.96
GOOGL,253.65
GOOGL,251.11
GOOGL,252.73
GOOGL,258.6
GOOGL,260.84
GOOGL,259.3
GOOGL,267.58
GOOGL,266.39
GOOGL,265.08
GOOGL,254.73
GOOGL,254.75
GOOGL,251.68
GOOGL,254.15
GOOGL,243.46
GOOGL,232.33
GOOGL,236.67
GOOGL,237.93
GOOGL,235.83
GOOGL,228.74
GOOGL,222.52
GOOGL,224.07
GOOGL,216.57
GOOGL,216.89
GOOGL,207.02
GOOGL,220.14
GOOGL,220.31
GOOGL,221.73
GOOGL,219.18
GOOGL,210.14
GOOGL,219.8
GOOGL,216.22
GOOGL,216.99
GOOGL,230.51
GOOGL,225.62
GOOGL,229.32
GOOGL,222.26
GOOGL,219.26
GOOGL,220.46
GOOGL,233.09
GOOGL,233.08
GOOGL,227.79
GOOGL,235.78
GOOGL,238.65
GOOGL,234.14
GOOGL,232.33
GOOGL,234.78
GOOGL,228.95
GOOGL,226.06
GOOGL,223.64
GOOGL,227.74
GOOGL,224.99
GOOGL,269.97
GOOGL,269.16
GOOGL,277.78
GOOGL,273.52
GOOGL,271.79
GOOGL,272.3
GOOGL,276.34
GOOGL,279.51
GOOGL,287.43
GOOGL,296.84
GOOGL,290.94
GOOGL,297.75
GOOGL,293.47
GOOGL,289.79
GOOGL,291.8
GOOGL,286.9
GOOGL,292.76
GOOGL,291.79
GOOGL,288.44
GOOGL,290.79
GOOGL,290.33
GOOGL,289.05
GOOGL,289.59
GOOGL,275.27
GOOGL,275.0
GOOGL,272.58
GOOGL,280.73
GOOGL,284.4
GOOGL,291.79
GOOGL,293.19
GOOGL,287.79
GOOGL,283.93
GOOGL,286.4
GOOGL,293.44
GOOGL,283.78
GOOGL,279.21
GOOGL,277.36
GOOGL,272.87
GOOGL,276.75
GOOGL,286.04
GOOGL,286.69
GOOGL,285.01
GOOGL,281.47
GOOGL,280.38
GOOGL,273.49
GOOGL,272.88
GOOGL,271.42
GOOGL,275.78
GOOGL,264.67
GOOGL,264.3
GOOGL,263.47
GOOGL,267.63
GOOGL,263.78
GOOGL,268.77
GOOGL,272.23
GOOGL,277.54
GOOGL,271.05
GOOGL,270.56
GOOGL,267.17
GOOGL,261.07
GOOGL,258.3
GOOGL,268.07
GOOGL,266.99
GOOGL,240.9
GOOGL,234.63
GOOGL,238.79
GOOGL,244.85
GOOGL,238.05
GOOGL,246.24
GOOGL,238.8
GOOGL,241.8
GOOGL,241.59
GOOGL,237.11
GOOGL,234.16
GOOGL,231.73
GOOGL,240.16
GOOGL,243.41
GOOGL,239.8
GOOGL,247.75
GOOGL,250.67
GOOGL,251.56
GOOGL,250.27
GOOGL,253.0
GOOGL,255.33
GOOGL,249.4
GOOGL,245.5
GOOGL,242.74
GOOGL,243.51
GOOGL,245.54
GOOGL,241.75
GOOGL,237.32
GOOGL,234.52
GOOGL,237.13
GOOGL,231.88
GOOGL,232.86
GOOGL,232.44
GOOGL,225.36
GOOGL,222.35
GOOGL,210.18
GOOGL,209.54
GOOGL,207.29
GOOGL,217.09
GOOGL,219.05
GOOGL,217.15
GOOGL,221.69
GOOGL,207.45
GOOGL,219.76
GOOGL,224.8
GOOGL,215.29
GOOGL,214.85
GOOGL,217.77
GOOGL,220.02
GOOGL,215.74
GOOGL,190.69
GOOGL,200.46
GOOGL,206.07
GOOGL,195.44
GOOGL,193.65
GOOGL,185.79
GOOGL,173.18
GOOGL,169.22
GOOGL,164.65
GOOGL,166.17
GOOGL,190.7
GOOGL,181.54
GOOGL,169.75
GOOGL,176.69
GOOGL,186.46
GOOGL,189.85
GOOGL,181.56
