Date,Name,Close,Open,Return
2016-01-04,IBM,135.95,135.6,0.0025811209439527607
2016-01-05,IBM,135.85,136.76,-0.006653992395437238
2016-01-06,IBM,135.17,134.38,0.00587885101949689
2016-01-07,IBM,132.86,133.7,-0.006282722513088819
2016-01-08,IBM,131.63,133.18,-0.011638384141763112
2016-01-11,IBM,133.23,131.81,0.010773082467187523
2016-01-12,IBM,132.9,133.65,-0.005611672278338945
2016-01-13,IBM,131.17,133.5,-0.017453183520599345
2016-01-14,IBM,132.91,131.93,0.007428181611460545
2016-01-15,IBM,130.03,130.01,0.00015383432043696818
2016-01-19,IBM,128.11,130.11,-0.015371608638844054
2016-01-20,IBM,121.86,118.46,0.028701671450278625
2016-01-21,IBM,122.91,121.3,0.013272877164056056
2016-01-22,IBM,122.5,124.67,-0.01740595171252107
2016-01-25,IBM,122.08,122.1,-0.00016380016380013122
2016-01-26,IBM,122.59,122.25,0.0027811860940695574
2016-01-27,IBM,120.96,122.73,-0.014421901735517072
2016-01-28,IBM,122.22,121.26,0.007916872835230033
2016-01-29,IBM,124.79,123.28,0.012248539909149944
2016-02-01,IBM,124.83,124.4,0.003456591639871323
2016-02-02,IBM,122.94,123.67,-0.005902805854289674
2016-02-03,IBM,124.72,123.99,0.005887571578353125
2016-02-04,IBM,127.65,125.08,0.020546850015989826
2016-02-05,IBM,128.57,127.22,0.010611539066184518
2016-02-08,IBM,126.98,126.0,0.00777777777777781
2016-02-09,IBM,124.07,126.12,-0.016254360926102215
2016-02-10,IBM,120.19,125.0,-0.03848000000000002
2016-02-11,IBM,117.85,118.78,-0.007829600942919741
2016-02-12,IBM,121.04,119.26,0.014925373134328367
2016-02-16,IBM,122.74,121.83,0.007469424608060384
2016-02-17,IBM,126.1,123.71,0.019319375959906238
2016-02-18,IBM,132.45,130.0,0.01884615384615376
2016-02-19,IBM,133.08,132.36,0.00543970988213961
2016-02-22,IBM,133.77,133.84,-0.0005230125523012042
2016-02-23,IBM,132.4,133.14,-0.005558059185819294
2016-02-24,IBM,132.8,131.55,0.009502090459901177
2016-02-25,IBM,134.5,133.29,0.009077950333858564
2016-02-26,IBM,132.03,134.51,-0.018437290907739125
2016-02-29,IBM,131.03,132.0,-0.00734848484848484
2016-03-01,IBM,134.37,132.24,0.01610707803992737
2016-03-02,IBM,136.3,133.7,0.019446522064323284
2016-03-03,IBM,137.8,137.22,0.004226789097799246
2016-03-04,IBM,137.8,137.54,0.0018903591682421065
2016-03-07,IBM,140.15,137.28,0.02090617715617719
2016-03-08,IBM,139.07,139.71,-0.004580917615059872
2016-03-09,IBM,140.41,139.31,0.007896059148661217
2016-03-10,IBM,140.19,141.24,-0.007434154630416393
2016-03-11,IBM,142.36,141.73,0.004445071615042855
2016-03-14,IBM,142.78,142.01,0.005422153369481095
2016-03-15,IBM,142.96,141.74,0.00860730915761252
2016-03-16,IBM,144.79,142.62,0.015215257327163003
2016-03-17,IBM,147.04,144.78,0.015609890868904483
2016-03-18,IBM,147.09,147.4,-0.002103120759837193
2016-03-21,IBM,148.63,147.3,0.00902919212491503
2016-03-22,IBM,148.1,148.06,0.00027016074564360424
2016-03-23,IBM,145.4,148.0,-0.01756756756756753
2016-03-24,IBM,147.95,144.98,0.020485584218512893
2016-03-28,IBM,148.4,147.75,0.004399323181049108
2016-03-29,IBM,149.33,147.59,0.011789416627142823
2016-03-30,IBM,148.41,149.95,-0.01027009003000995
2016-03-31,IBM,151.45,149.79,0.011082181721076152
2016-04-01,IBM,152.52,150.51,0.013354594379111151
2016-04-04,IBM,152.07,152.34,-0.0017723513194171604
2016-04-05,IBM,150.0,151.43,-0.009443307138611945
2016-04-06,IBM,150.02,149.9,0.0008005336891261143
2016-04-07,IBM,148.25,149.07,-0.005500771449654479
2016-04-08,IBM,149.35,149.06,0.0019455252918287405
2016-04-11,IBM,149.25,150.26,-0.006721682417143557
2016-04-12,IBM,149.63,149.61,0.0001336809036827873
2016-04-13,IBM,151.23,150.75,0.003184079601989982
2016-04-14,IBM,151.16,151.5,-0.002244224422442267
2016-04-15,IBM,151.72,151.04,0.004502118644067842
2016-04-18,IBM,152.53,151.75,0.005140032948929167
2016-04-19,IBM,144.0,146.47,-0.01686352154024714
2016-04-20,IBM,146.11,144.24,0.012964503605102637
2016-04-21,IBM,149.3,146.58,0.018556419702551497
2016-04-22,IBM,148.5,149.44,-0.006290149892933604
2016-04-25,IBM,148.81,148.16,0.004387149028077793
2016-04-26,IBM,149.08,148.65,0.0028927009754457235
2016-04-27,IBM,150.47,149.35,0.007499163039839335
2016-04-28,IBM,147.07,149.75,-0.01789649415692826
2016-04-29,IBM,145.94,146.49,-0.0037545224930030127
2016-05-02,IBM,145.27,146.56,-0.008801855895196452
2016-05-03,IBM,144.13,144.65,-0.003594884203249293
2016-05-04,IBM,144.25,143.36,0.006208147321428476
2016-05-05,IBM,146.47,145.95,0.003562863994518741
2016-05-06,IBM,147.29,144.86,0.016774817064752024
2016-05-09,IBM,147.34,147.7,-0.0024373730534866978
2016-05-10,IBM,149.97,148.24,0.01167026443604958
2016-05-11,IBM,148.95,149.71,-0.005076481196980958
2016-05-12,IBM,148.84,149.21,-0.002479726559882076
2016-05-13,IBM,147.72,148.79,-0.007191343504267715
2016-05-16,IBM,149.46,147.65,0.012258719945817828
2016-05-17,IBM,148.0,149.21,-0.008109376047181878
2016-05-18,IBM,147.34,147.99,-0.0043921886613960785
2016-05-19,IBM,144.93,146.48,-0.010581649371927793
2016-05-20,IBM,147.25,145.71,0.010568938302106869
2016-05-23,IBM,146.77,147.61,-0.005690671363728767
2016-05-24,IBM,148.31,146.88,0.009735838779956475
2016-05-25,IBM,151.69,148.93,0.018532196333848054
2016-05-26,IBM,152.44,151.55,0.005872649290663057
2016-05-27,IBM,152.84,152.35,0.003216278306531074
2016-05-31,IBM,153.74,152.56,0.007734661772417454
2016-06-01,IBM,152.51,153.0,-0.0032026143790850267
2016-06-02,IBM,153.5,152.59,0.005963693557900233
2016-06-03,IBM,152.89,152.4,0.0032152230971127338
2016-06-06,IBM,152.73,153.09,-0.0023515579071135516
2016-06-07,IBM,153.33,153.31,0.00013045463440095382
2016-06-08,IBM,154.0,153.53,0.003061290952908219
2016-06-09,IBM,153.42,152.92,0.0032696834946377195
2016-06-10,IBM,152.37,152.79,-0.0027488709994108744
2016-06-13,IBM,151.28,151.63,-0.0023082503462375143
2016-06-14,IBM,151.06,151.28,-0.001454257006874662
2016-06-15,IBM,150.68,151.46,-0.005149874554337786
2016-06-16,IBM,151.06,150.19,0.005792662627338734
2016-06-17,IBM,151.99,150.96,0.006822999470058301
2016-06-20,IBM,153.61,152.6,0.006618610747051241
2016-06-21,IBM,154.05,154.16,-0.0007135443694861522
2016-06-22,IBM,152.92,153.75,-0.005398373983739919
2016-06-23,IBM,155.35,153.45,0.012381883349625323
2016-06-24,IBM,146.59,149.97,-0.022537840901513607
2016-06-27,IBM,143.5,146.18,-0.018333561362703563
2016-06-28,IBM,145.7,144.78,0.00635446884928849
2016-06-29,IBM,148.46,146.5,0.01337883959044374
2016-06-30,IBM,151.78,148.86,0.019615746338841777
2016-07-01,IBM,152.35,152.19,0.0010513174321571497
2016-07-05,IBM,151.68,151.19,0.0032409550896223896
2016-07-06,IBM,152.37,151.85,0.0034244320052684244
2016-07-07,IBM,152.6,152.75,-0.000981996726677615
2016-07-08,IBM,154.46,154.0,0.002987012987013039
2016-07-11,IBM,155.33,154.6,0.004721862871927673
2016-07-12,IBM,157.04,156.0,0.006666666666666616
2016-07-13,IBM,158.02,157.75,0.0017115689381934087
2016-07-14,IBM,160.28,158.81,0.009256344058938347
2016-07-15,IBM,159.78,159.9,-0.0007504690431519984
2016-07-18,IBM,159.86,159.3,0.0035153797865662413
2016-07-19,IBM,159.58,161.78,-0.013598714303374884
2016-07-20,IBM,161.36,159.97,0.00868912921172729
