Name,Date,Close
GOOGL,2006-01-03,217.83
GOOGL,2006-01-04,222.84
GOOGL,2006-01-05,225.85
GOOGL,2006-01-06,233.06
GOOGL,2006-01-09,233.68
GOOGL,2006-01-10,235.11
GOOGL,2006-01-11,236.05
GOOGL,2006-01-12,232.05
GOOGL,2006-01-13,233.36
GOOGL,2006-01-17,233.79
GOOGL,2006-01-18,222.68
GOOGL,2006-01-19,218.44
GOOGL,2006-01-20,199.93
GOOGL,2006-01-23,213.96
GOOGL,2006-01-24,221.74
GOOGL,2006-01-25,216.72
GOOGL,2006-01-26,217.35
GOOGL,2006-01-27,216.96
GOOGL,2006-01-30,213.62
GOOGL,2006-01-31,216.55
GOOGL,2006-02-01,201.09
GOOGL,2006-02-02,198.22
GOOGL,2006-02-03,190.97
GOOGL,2006-02-06,192.74
GOOGL,2006-02-07,184.14
GOOGL,2006-02-08,184.72
GOOGL,2006-02-09,179.56
GOOGL,2006-02-10,181.49
GOOGL,2006-02-13,173.02
GOOGL,2006-02-14,171.83
GOOGL,2006-02-15,171.36
GOOGL,2006-02-16,183.41
GOOGL,2006-02-17,184.56
GOOGL,2006-02-21,183.48
GOOGL,2006-02-22,182.93
GOOGL,2006-02-23,189.22
GOOGL,2006-02-24,188.89
GOOGL,2006-02-27,195.38
GOOGL,2006-02-28,181.49
GOOGL,2006-03-01,182.58
GOOGL,2006-03-02,188.41
GOOGL,2006-03-03,189.28
GOOGL,2006-03-06,184.23
GOOGL,2006-03-07,182.41
GOOGL,2006-03-08,177.12
GOOGL,2006-03-09,171.67
GOOGL,2006-03-10,168.92
GOOGL,2006-03-13,168.7
GOOGL,2006-03-14,175.76
GOOGL,2006-03-15,172.42
GOOGL,2006-03-16,169.55
GOOGL,2006-03-17,170.06
GOOGL,2006-03-20,174.27
GOOGL,2006-03-21,170.13
GOOGL,2006-03-22,170.28
GOOGL,2006-03-23,171.12
GOOGL,2006-03-24,183.08
GOOGL,2006-03-27,185.03
GOOGL,2006-03-28,188.79
GOOGL,2006-03-29,197.69
GOOGL,2006-03-30,194.41
GOOGL,2006-03-31,195.19
GOOGL,2006-04-03,195.04
GOOGL,2006-04-04,202.37
GOOGL,2006-04-05,204.2
GOOGL,2006-04-06,205.8
GOOGL,2006-04-07,203.28
GOOGL,2006-04-10,208.4
GOOGL,2006-04-11,205.03
GOOGL,2006-04-12,204.68
GOOGL,2006-04-13,201.28
